"FW"	"DW"	"trial"
"P290xF047"	744.272654060162	241.696457	2012
"P290xF099"	795.104503821744	256.79776	2012
"P290xF101"	688.328860277421	218.039124	2012
"P290xF104"	729.913251054934	237.818726	2012
"P290xF145"	639.295646607462	236.326172	2012
"P290xF151"	704.662340395837	213.374557	2012
"P290xF154"	727.270126509906	246.817993	2012
"P290xF157"	679.503439539232	217.319	2012
"P290xF159"	725.517610225327	228.903748	2012
"P290xF161"	809.639323672776	224.341583	2012
"P290xF162"	663.213632118729	200.291458	2012
"P290xF169"	578.53980748761	200.760468	2012
"P291xF047"	727.787975224021	250.934433	2012
"P291xF099"	781.545112705118	225.226288	2012
"P291xF101"	634.745591987468	190.441208	2012
"P291xF104"	759.868013672363	230.720978	2012
"P291xF145"	625.604654189371	217.91835	2012
"P291xF151"	558.759145586123	159.965332	2012
"P291xF154"	768.873840757178	228.637253	2012
"P291xF157"	769.825320668147	240.827957	2012
"P291xF159"	765.641443556985	214.977966	2012
"P291xF161"	776.13608790165	210.584885	2012
"P291xF162"	686.351321831444	215.167267	2012
"P299xF047"	621.68178487696	188.665543	2012
"P299xF099"	652.4184868709	202.928757	2012
"P299xF101"	530.544296916112	169.623215	2012
"P299xF104"	647.49415548872	192.912338	2012
"P299xF145"	607.635116331403	216.121368	2012
"P299xF151"	637.687816274793	186.003113	2012
"P299xF154"	549.925018935301	188.821533	2012
"P299xF157"	635.841453870007	231.100174	2012
"P299xF159"	607.530356000572	177.147751	2012
"P299xF161"	682.219827301892	179.963898	2012
"P299xF162"	607.916435434282	172.618698	2012
"P299xF169"	610.360797855463	213.777924	2012
"P302xF099"	622.24008622294	173.207489	2012
"P302xF101"	473.893234525304	149.816238	2012
"P302xF104"	567.756396925988	194.245117	2012
"P302xF145"	473.740815608997	153.374023	2012
"P302xF151"	557.991001068598	183.407379	2012
"P302xF154"	407.353509323036	99.7096481	2012
"P302xF157"	621.07410109457	196.856293	2012
"P302xF159"	554.66112386022	167.585358	2012
"P302xF161"	603.439838208746	174.290604	2012
"P302xF162"	555.86996242186	167.368484	2012
"P312xF047"	757.010803688972	224.49527	2012
"P312xF099"	689.102329600696	206.849609	2012
"P312xF101"	664.018563708932	223.880066	2012
"P312xF104"	593.504907797646	181.956299	2012
"P312xF145"	567.414887197382	179.976379	2012
"P312xF151"	657.016202814983	189.94104	2012
"P312xF154"	631.141663209229	196.074249	2012
"P312xF157"	643.851497408057	175.914276	2012
"P312xF159"	681.003781913041	204.373718	2012
"P312xF161"	802.014190621256	240.795151	2012
"P312xF162"	747.317879507713	229.557617	2012
"P312xF169"	577.81935917603	190.192245	2012
"P330xF047"	652.856725806286	210.024719	2012
"P330xF099"	685.395720335579	212.372391	2012
"P330xF101"	650.393700034112	217.550644	2012
"P330xF104"	711.245014065901	215.922989	2012
"P330xF145"	630.184943036731	215.002869	2012
"P330xF151"	745.833449769611	228.516479	2012
"P330xF154"	641.130273689171	197.333862	2012
"P330xF157"	689.259604957156	230.13121	2012
"P330xF159"	687.279083683327	221.116257	2012
"P330xF161"	762.82923181654	238.172668	2012
"P330xF162"	736.135687666562	227.665527	2012
"P330xF169"	573.713037361088	193.470947	2012
